# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
| `memory/predictive_cache.py` | 652 | 1 | 2 | 9 |
| `tests/telemetry/test_memory_metrics.py` | 651 | 11 | 39 | 0 |
| `world_model/loader.py` | 650 | 1 | 12 | 0 |
| `core/commands/executor.py` | 649 | 1 | 1 | 11 |
| `orchestrators/pattern/orchestrator.py` | 649 | 3 | 7 | 5 |
| `scripts/memory/load_indexes_to_neo4j.py` | 646 | 1 | 16 | 0 |
| `tests/agents/codegenagent/test_symbolic_verification.py` | 645 | 9 | 12 | 14 |
| `memory/audit_utils.py` | 642 | 1 | 16 | 0 |
| `workers/violation_tracker_service.py` | 642 | 4 | 6 | 10 |
| `world_model/_pack_staging/postgres_substrate.py` | 635 | 2 | 19 | 0 |
| `scripts/audit/categorize_dead_code.py` | 635 | 4 | 6 | 0 |
| `codegen/export_repo_indexes.py` | 633 | 0 | 22 | 0 |
| `agents/codegenagent/telemetry_codegen.py` | 632 | 6 | 18 | 0 |
| `tests/upgrades/test_packet_envelope_phases.py` | 631 | 5 | 14 | 13 |
| `memory/importance_manager.py` | 629 | 4 | 5 | 5 |
| `api/routes/reflection_agent.py` | 629 | 11 | 1 | 8 |
| `core/packet_envelope/governance.py` | 626 | 13 | 11 | 12 |
| `workers/anomaly_response_monitor.py` | 626 | 5 | 6 | 8 |
| `codegen/code-gen-files/schema_validator.py` | 625 | 3 | 21 | 0 |
| `codegen/code-gen-files/validate_spec_v25.py` | 625 | 2 | 23 | 0 |
| `ci/check_syntax.py` | 624 | 1 | 12 | 0 |
| `scripts/memory/audit_graphs.py` | 624 | 0 | 1 | 5 |
| `memory/identity_tier.py` | 623 | 4 | 5 | 7 |
| `current_work/DONE/GMP Stage 1 - Tools/long_plan_graph.py` | 622 | 1 | 1 | 7 |
| `codegen/code-gen-files/glue_resolver.py` | 618 | 9 | 26 | 0 |
| `tests/memory/test_strategy_memory_integration.py` | 617 | 8 | 0 | 14 |
| `runtime/websocket_orchestrator.py` | 616 | 1 | 4 | 8 |
| `ci/lint_forbidden_imports.py` | 615 | 1 | 10 | 0 |
| `tests/integration/test_l_bootstrap.py` | 615 | 0 | 5 | 8 |
| `ir_engine/compile_meta_to_ir.py` | 614 | 7 | 23 | 0 |
| `igor/DONE!/L9 Memory Substrate Audit/script_9.py` | 612 | 0 | 0 | 0 |
| `agents/codegenagent/compliance_auditor.py` | 610 | 7 | 18 | 0 |
| `codegen/codegenAgent Spec/run_codegen_superprompt.py` | 608 | 6 | 9 | 4 |
| `core/agents/registry.py` | 606 | 1 | 20 | 1 |
| `ir_engine/deliberation_cell.py` | 605 | 3 | 8 | 4 |
| `world_model/query_engine.py` | 603 | 2 | 21 | 0 |
| `mcp_memory/tests/verify_main_pipeline_e2e.py` | 602 | 3 | 2 | 6 |
| `runtime/redis_client.py` | 600 | 1 | 3 | 17 |
| `tests/memory/test_strategy_memory.py` | 600 | 9 | 15 | 16 |
| `services/research/research_graph.py` | 600 | 0 | 2 | 7 |
| `igor/DONE!/audit-tools/runtime_l_tools.py` | 599 | 0 | 6 | 11 |
| `memory/neural_decay_scheduler.py` | 597 | 3 | 2 | 4 |
| `tests/codegen/test_codegen_pipeline.py` | 594 | 6 | 26 | 0 |
| `current_work/packetEnvelope - Phase 2-5/phase_5_governance.py` | 591 | 13 | 11 | 12 |
| `tests/ir_engine/test_ir_packet_formats.py` | 590 | 9 | 28 | 0 |
| `core/agents/schemas.py` | 588 | 12 | 5 | 0 |
| `tests/integration/test_l_cto_end_to_end.py` | 588 | 3 | 7 | 11 |
| `scripts/generate_subsystem_readmes.py` | 587 | 3 | 4 | 0 |
| `runtime/execution_gate.py` | 584 | 0 | 7 | 0 |
| `agents/codegenagent/cursor_context_sync_engine.py` | 584 | 7 | 12 | 11 |
| `mcp_memory/tests/test_all_layers.py` | 584 | 4 | 0 | 20 |
| `igor/DONE!/audit-memory/memory_graph_client.py` | 583 | 1 | 2 | 13 |
| `igor/DONE!/audit-memory/api_memory_router.py` | 582 | 5 | 1 | 15 |
| `current_work/DONE/WORLD_MODEL STUB IMPLEMENTATION/postgres_substrate.py` | 582 | 2 | 19 | 0 |
| `memory/hierarchical_summarizer.py` | 577 | 4 | 3 | 6 |
| `tests/integration/test_igor_commands.py` | 576 | 6 | 19 | 13 |
| `tests/memory/test_dag_orchestrator_resilience.py` | 575 | 6 | 4 | 23 |
| `tests/ir_engine/test_ir_simulation_router_integration.py` | 575 | 7 | 9 | 17 |
| `memory/substrate_models.py` | 574 | 16 | 0 | 0 |
| `api/routes/commands.py` | 574 | 5 | 0 | 5 |
| `igor/DONE!/audit-memory/memory_ingestion.py` | 574 | 1 | 7 | 9 |
| `agents/codegenagent/rollback_hook.py` | 573 | 6 | 19 | 0 |
| `agents/codegenagent/ap_generator.py` | 573 | 7 | 14 | 0 |
| `core/packet_envelope/scalability.py` | 572 | 11 | 6 | 19 |
| `world_model/_pack_staging/neo4j_substrate.py` | 572 | 2 | 18 | 0 |
| `core/governance/approvals.py` | 571 | 1 | 4 | 9 |
| `agents/codegenagent/pipeline_validator.py` | 569 | 6 | 18 | 0 |
| `tests/unit/test_kernel_loader_activation.py` | 567 | 10 | 39 | 0 |
| `tests/integration/test_governance_tracking_e2e.py` | 566 | 6 | 21 | 2 |
| `scripts/audit/ensure_logger_instantiated.py` | 565 | 1 | 8 | 0 |
| `scripts/audit/audit_shared_core.py` | 564 | 10 | 28 | 0 |
| `scripts/audit/audit_api_signatures.py` | 563 | 4 | 14 | 0 |
| `current_work/DONE/GMP Stage 2 - Tools & Memory/test_l_bootstrap.py` | 563 | 0 | 5 | 8 |
| `workers/remediation_engine.py` | 562 | 6 | 3 | 10 |
| `core/kernels/schemas.py` | 561 | 31 | 2 | 0 |
| `ci/validate_codegen.py` | 561 | 1 | 15 | 0 |
| `tests/ir_engine/test_ir_validation_and_status.py` | 561 | 9 | 27 | 0 |
| `world_model/state.py` | 559 | 3 | 19 | 0 |
| `runtime/dora.py` | 558 | 3 | 9 | 2 |
| `tests/memory/test_frontier_memory_pipeline.py` | 558 | 7 | 35 | 0 |
| `agents/cursor/integrations/cursor_langgraph.py` | 556 | 6 | 6 | 5 |
| `agents/cursor/GMP-v2.0-Perplex-Py-Scripts/script_4.py` | 555 | 0 | 0 | 0 |
| `core/packet_envelope/observability.py` | 554 | 4 | 13 | 1 |
| `tests/test_memory_substrate_basic.py` | 553 | 9 | 11 | 14 |
| `agents/codegenagent/CodeGenAgent Engine.py` | 552 | 2 | 7 | 4 |
| `core/schemas/packet_envelope_v2.py` | 551 | 13 | 6 | 0 |
| `memory/insight_extraction.py` | 551 | 1 | 8 | 4 |
| `runtime/construct_enhancer.py` | 550 | 4 | 8 | 5 |
| `simulation/scenario_loader.py` | 550 | 4 | 14 | 0 |
| `agents/reflection_agent.py` | 548 | 1 | 5 | 10 |
| `ir_engine/ir_schema.py` | 547 | 14 | 28 | 0 |
| `world_model/_pack_staging/orchestrator.py` | 545 | 2 | 16 | 0 |
| `api/routes/factory.py` | 545 | 8 | 1 | 8 |
| `ir_engine/ir_to_plan_adapter.py` | 544 | 3 | 14 | 0 |
| `scripts/audit/verify_memory_spec_v3.py` | 542 | 0 | 11 | 0 |
| `tests/unit/test_lcto_bootstrap.py` | 541 | 6 | 30 | 0 |
| `codegen/code-gen-files/validate_codegen.py` | 541 | 1 | 15 | 0 |
| `tests/core/observability/test_observability_integration.py` | 539 | 9 | 22 | 12 |
| `services/research/tools/perplexity_client.py` | 536 | 5 | 5 | 8 |
| `scripts/audit/validate_dora_complete.py` | 535 | 2 | 12 | 0 |
| `core/agents/selfreflection.py` | 533 | 9 | 8 | 1 |
| `core/governance/approval_manager.py` | 533 | 4 | 7 | 7 |
| `core/schemas/research_factory_nodes.py` | 531 | 0 | 1 | 5 |
| `memory/retrieval_ranking.py` | 531 | 3 | 15 | 0 |
| `core/packet_envelope/standardization.py` | 529 | 9 | 18 | 0 |
| `mcp_memory/src/main.py` | 529 | 1 | 8 | 11 |
| `services/slack_files.py` | 529 | 0 | 4 | 2 |
| `core/agents/kernelevolution.py` | 527 | 2 | 8 | 1 |
| `igor/DONE!/audit-memory/memory_insight_extraction.py` | 525 | 1 | 8 | 4 |
| `telemetry/memory_metrics.py` | 523 | 0 | 13 | 0 |
| `scripts/batch/batch_generate_specs.py` | 521 | 4 | 5 | 6 |
| `workers/violation_patterns.py` | 520 | 6 | 5 | 5 |
| `current_work/DONE/WORLD_MODEL STUB IMPLEMENTATION/neo4j_substrate.py` | 520 | 2 | 18 | 0 |
| `runtime/gmp_worker.py` | 519 | 1 | 1 | 12 |
| `current_work/DONE/WORLD_MODEL STUB IMPLEMENTATION/orchestrator.py` | 519 | 2 | 16 | 0 |
| `core/schemas/schema_registry.py` | 518 | 3 | 21 | 0 |
| `world_model/_pack_staging/redis_substrate.py` | 518 | 2 | 22 | 0 |
| `current_work/packetEnvelope - Phase 2-5/phase_4_scalability.py` | 518 | 11 | 6 | 19 |
| `world_model/_pack_staging/query_engine.py` | 517 | 2 | 19 | 0 |
| `simulation/outcome_evaluator.py` | 516 | 6 | 14 | 0 |
| `scripts/audit/migrate_dora_legacy.py` | 516 | 2 | 18 | 0 |
| `config/di_config.py` | 515 | 0 | 18 | 0 |
| `igor/DONE!/audit-tools/Current Config/agents_l_cto.py` | 515 | 1 | 9 | 2 |
| `orchestrators/memory/housekeeping.py` | 514 | 1 | 1 | 8 |
| `api/agent_routes.py` | 514 | 5 | 0 | 7 |
| `clients/world_model_client.py` | 513 | 7 | 2 | 14 |
| `core/auto_registry.py` | 513 | 5 | 14 | 0 |
| `current_work/DONE/AUTOWIRING/auto_registry.py` | 513 | 5 | 14 | 0 |
| `current_work/packetEnvelope - Phase 2-5/packetEnvelope - RollOut/deployment_automation.py` | 513 | 5 | 1 | 11 |
| `memory/housekeeping.py` | 512 | 1 | 5 | 7 |
| `runtime/introspection.py` | 511 | 1 | 12 | 0 |
| `agents/codegenagent/file_emitter.py` | 511 | 3 | 16 | 0 |
| `scripts/memory/audit_graphs_vps.py` | 511 | 0 | 1 | 7 |
| `api/routes/pattern.py` | 509 | 6 | 1 | 5 |
| `memory/warming_service.py` | 508 | 1 | 4 | 6 |
| `core/integration/tool_pattern_extractor.py` | 507 | 1 | 6 | 8 |
| `codegen/scripts/generate_spec.py` | 506 | 1 | 8 | 3 |
| `current_work/Compiler + Dev Layer/Knowledge Harvester + Compiler - Complete System/l9_spec_generator.py` | 506 | 3 | 11 | 0 |
| `current_work/Compiler + Dev Layer/Knowledge Harvester + Compiler - Complete System/knowledge_harvester_system/l9_spec_generator.py` | 506 | 3 | 11 | 0 |
| `current_work/01-20-2026/Knowledge Harvester + Compiler - Complete System/l9_spec_generator.py` | 506 | 3 | 11 | 0 |
| `current_work/01-20-2026/Knowledge Harvester + Compiler - Complete System/knowledge_harvester_system/l9_spec_generator.py` | 506 | 3 | 11 | 0 |
| `tests/memory/test_unified_pipeline.py` | 505 | 10 | 9 | 13 |
| `runtime/auth_rate_limiter.py` | 504 | 3 | 3 | 11 |
| `api/world_model_api.py` | 504 | 12 | 1 | 9 |
| `memory/checkpoint_metrics.py` | 503 | 4 | 23 | 0 |
| `tests/memory/test_tool_audit.py` | 502 | 5 | 14 | 14 |
| `world_model/registry.py` | 502 | 3 | 16 | 0 |
| `memory/checkpoint/postgres_saver.py` | 500 | 2 | 4 | 7 |
