# ================================================================
# File Metrics
# ================================================================
# Repo:      L9
# Generated: 2026-02-13 21:22 UTC
# Branch:    main (58f7d020)
# Generator: export_repo_indexes.py v3.0.0
# ================================================================

# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
| `agents/codegenagent/cursor_context_sync_engine.py` | 669 | 7 | 12 | 11 |
| `scripts/memory/bootstrap_neo4j_schema.py` | 665 | 0 | 0 | 8 |
| `core/tools/tool_embeddings.py` | 657 | 1 | 0 | 10 |
| `core/codegen/gatekeeper/codegen_gatekeeper_v2.py` | 656 | 5 | 2 | 7 |
| `core/tools/registry_cache.py` | 653 | 6 | 19 | 3 |
| `ci/lint_forbidden_imports.py` | 653 | 1 | 10 | 0 |
| `agents/codegenagent/compliance_auditor.py` | 653 | 7 | 18 | 0 |
| `core/commands/executor.py` | 652 | 1 | 1 | 11 |
| `memory/predictive_cache.py` | 652 | 1 | 2 | 9 |
| `world_model/loader.py` | 651 | 1 | 12 | 0 |
| `ci/ai_guardrails/runner.py` | 649 | 2 | 15 | 0 |
| `core/packet_envelope/governance.py` | 648 | 13 | 11 | 12 |
| `memory/audit_utils.py` | 648 | 1 | 16 | 0 |
| `workflows/gmp_enforcer.py` | 646 | 4 | 11 | 0 |
| `codegen/code-gen-files/schema_validator.py` | 644 | 3 | 21 | 0 |
| `codegen/code-gen-files/validate_spec_v25.py` | 643 | 2 | 23 | 0 |
| `workers/violation_tracker_service.py` | 643 | 4 | 6 | 10 |
| `tests/memory/test_strategy_memory_integration.py` | 641 | 8 | 0 | 14 |
| `memory/importance_manager.py` | 640 | 4 | 5 | 5 |
| `agents/codegenagent/pipeline_validator.py` | 640 | 6 | 18 | 0 |
| `telemetry/calibration_dashboard.py` | 639 | 2 | 13 | 0 |
| `core/bayesian/hybrid_kernel.py` | 638 | 2 | 9 | 0 |
| `codegen/codegen_agent_spec/run_codegen_superprompt.py` | 637 | 6 | 9 | 4 |
| `memory/deduplication.py` | 636 | 5 | 8 | 7 |
| `codegen/code-gen-files/glue_resolver.py` | 635 | 9 | 26 | 0 |
| `memory/identity_tier.py` | 633 | 4 | 5 | 7 |
| `tests/core/eos/test_eos_clients.py` | 633 | 5 | 12 | 21 |
| `world_model/_pack_staging/postgres_substrate.py` | 633 | 2 | 19 | 0 |
| `tests/integration/test_l_bootstrap.py` | 630 | 0 | 5 | 8 |
| `tests/codegen/test_codegen_pipeline.py` | 630 | 6 | 26 | 0 |
| `ci/check_syntax.py` | 629 | 1 | 12 | 0 |
| `core/agents/codegenagent/codegen_agent.py` | 627 | 4 | 8 | 6 |
| `core/singleton_registry.py` | 626 | 3 | 17 | 3 |
| `api/routes/reflection_agent.py` | 626 | 11 | 1 | 8 |
| `tests/upgrades/test_packet_envelope_phases.py` | 625 | 5 | 14 | 13 |
| `agents/cursor/GMP-v2.0-Perplex-Py-Scripts/script_4.py` | 625 | 0 | 0 | 0 |
| `workers/anomaly_response_monitor.py` | 622 | 5 | 6 | 8 |
| `runtime/websocket_orchestrator.py` | 619 | 1 | 4 | 8 |
| `SDK/SDK.py` | 616 | 10 | 21 | 23 |
| `telemetry/memory_metrics.py` | 616 | 0 | 14 | 0 |
| `ir_engine/deliberation_cell.py` | 615 | 3 | 8 | 4 |
| `agents/codegenagent/rollback_hook.py` | 614 | 6 | 19 | 0 |
| `tests/memory/test_strategy_memory.py` | 613 | 9 | 15 | 16 |
| `world_model/query_engine.py` | 613 | 2 | 21 | 0 |
| `ir_engine/compile_meta_to_ir.py` | 611 | 7 | 23 | 0 |
| `runtime/dora.py` | 608 | 3 | 9 | 2 |
| `tests/memory/test_enrichment_dag.py` | 608 | 11 | 14 | 14 |
| `codegen/codegenAgent Spec/run_codegen_superprompt.py` | 608 | 6 | 9 | 4 |
| `core/governance/engine.py` | 607 | 2 | 11 | 4 |
| `mcp_memory/tests/verify_main_pipeline_e2e.py` | 607 | 3 | 2 | 6 |
| `core/agents/registry.py` | 606 | 1 | 20 | 1 |
| `tests/unit/test_kernel_loader_activation.py` | 605 | 10 | 39 | 0 |
| `tests/integration/test_l_cto_end_to_end.py` | 604 | 3 | 7 | 11 |
| `services/research/research_graph.py` | 603 | 0 | 2 | 7 |
| `memory/neural_decay_scheduler.py` | 602 | 3 | 2 | 4 |
| `scripts/audit/audit_shared_core.py` | 602 | 10 | 28 | 0 |
| `scripts/memory/ingest_chat_transcript.py` | 599 | 2 | 7 | 1 |
| `core/governance/approval_manager.py` | 597 | 4 | 7 | 7 |
| `config/di_config.py` | 596 | 0 | 18 | 0 |
| `core/memory/virtual_context.py` | 595 | 5 | 5 | 10 |
| `memory/execution_plan_snapshot.py` | 594 | 5 | 7 | 7 |
| `agents/codegenagent/ap_generator.py` | 593 | 7 | 14 | 0 |
| `tools/codegen/spec_generator.py` | 592 | 3 | 11 | 0 |
| `tests/memory/test_dag_orchestrator_resilience.py` | 592 | 6 | 4 | 23 |
| `tests/ir_engine/test_ir_packet_formats.py` | 589 | 9 | 28 | 0 |
| `mcp_memory/tests/test_all_layers.py` | 588 | 4 | 0 | 20 |
| `core/governance/approvals.py` | 587 | 1 | 4 | 9 |
| `tools/codegen/doc_compiler.py` | 584 | 9 | 34 | 0 |
| `tests/memory/test_substrate_dag_native.py` | 584 | 10 | 26 | 15 |
| `tests/integration/test_igor_commands.py` | 584 | 6 | 19 | 13 |
| `runtime/execution_gate.py` | 583 | 0 | 7 | 0 |
| `core/packet_envelope/scalability.py` | 580 | 11 | 6 | 19 |
| `memory/hierarchical_summarizer.py` | 580 | 4 | 3 | 6 |
| `core/packet_envelope/observability.py` | 578 | 4 | 13 | 1 |
| `core/agents/schemas.py` | 577 | 12 | 5 | 0 |
| `memory/substrate_models.py` | 577 | 16 | 0 | 0 |
| `tests/ir_engine/test_ir_simulation_router_integration.py` | 577 | 7 | 9 | 17 |
| `scripts/audit/verify_memory_spec_v3.py` | 575 | 0 | 11 | 0 |
| `api/routes/commands.py` | 575 | 5 | 0 | 5 |
| `ci/validate_codegen.py` | 574 | 1 | 15 | 0 |
| `core/bayesian/uncertainty.py` | 573 | 3 | 14 | 0 |
| `tests/e2e/test_tool_wiring_e2e.py` | 573 | 6 | 26 | 2 |
| `world_model/_pack_staging/neo4j_substrate.py` | 571 | 2 | 18 | 0 |
| `tests/integration/test_governance_tracking_e2e.py` | 570 | 6 | 21 | 2 |
| `core/learning/feedback_collector.py` | 569 | 3 | 16 | 0 |
| `runtime/construct_enhancer.py` | 568 | 4 | 8 | 5 |
| `runtime/redis_tools.py` | 567 | 0 | 0 | 13 |
| `agents/codegenagent/file_emitter.py` | 567 | 3 | 16 | 0 |
| `agents/cursor/integrations/cursor_langgraph.py` | 564 | 6 | 6 | 5 |
| `world_model/state.py` | 564 | 3 | 19 | 0 |
| `workers/remediation_engine.py` | 563 | 6 | 3 | 10 |
| `core/schemas/packet_envelope_v2.py` | 562 | 13 | 6 | 0 |
| `tests/ir_engine/test_ir_validation_and_status.py` | 562 | 9 | 27 | 0 |
| `workflows/dags/slash_command_update_dag.py` | 561 | 0 | 1 | 0 |
| `core/protocols/memory_protocols.py` | 558 | 6 | 3 | 22 |
| `codegen/code-gen-files/validate_codegen.py` | 558 | 1 | 15 | 0 |
| `memory/archive/insight_extraction.py` | 557 | 1 | 8 | 4 |
| `tests/test_memory_substrate_basic.py` | 557 | 9 | 11 | 14 |
| `tests/unit/test_lcto_bootstrap.py` | 557 | 6 | 30 | 0 |
| `agents/reflection_agent.py` | 557 | 1 | 5 | 10 |
| `api/routes/factory.py` | 557 | 8 | 1 | 8 |
| `core/kernels/schemas.py` | 556 | 31 | 2 | 0 |
| `agents/codegenagent/codegen_agent_engine.py` | 555 | 2 | 7 | 4 |
| `services/research/tools/perplexity_client.py` | 555 | 5 | 5 | 9 |
| `tests/memory/test_frontier_memory_pipeline.py` | 554 | 7 | 35 | 0 |
| `core/agents/codegenagent/file_emitter.py` | 553 | 3 | 16 | 0 |
| `core/coordination/agent_mediator.py` | 552 | 3 | 8 | 9 |
| `core/evaluation/evaluator.py` | 552 | 5 | 4 | 6 |
| `simulation/scenario_loader.py` | 551 | 4 | 14 | 0 |
| `core/agents/selfreflection.py` | 550 | 9 | 8 | 1 |
| `core/protocols/error_handling_protocols.py` | 550 | 5 | 8 | 5 |
| `tests/memory/test_unified_pipeline.py` | 550 | 10 | 10 | 13 |
| `agents/codegenagent/c_gmp_engine.py` | 550 | 2 | 7 | 4 |
| `core/protocols/agent_protocols.py` | 549 | 7 | 18 | 9 |
| `tests/core/observability/test_observability_integration.py` | 549 | 9 | 22 | 12 |
| `ir_engine/ir_to_plan_adapter.py` | 549 | 3 | 14 | 0 |
| `core/agents/codegenagent/c_gmp_engine.py` | 547 | 2 | 7 | 4 |
| `tests/memory/test_tool_audit.py` | 546 | 5 | 15 | 13 |
| `workflows/dags/gmp_execution_dag.py` | 546 | 0 | 1 | 0 |
| `scripts/batch/batch_generate_specs.py` | 545 | 4 | 5 | 6 |
| `core/auto_registry.py` | 544 | 5 | 14 | 0 |
| `world_model/_pack_staging/orchestrator.py` | 544 | 2 | 16 | 0 |
| `workflows/dags/dag_authoring_dag.py` | 543 | 0 | 1 | 0 |
| `ir_engine/ir_schema.py` | 543 | 14 | 28 | 0 |
| `core/observability/security_alerts.py` | 542 | 4 | 17 | 0 |
| `core/packet_envelope/standardization.py` | 540 | 9 | 18 | 0 |
| `clients/world_model_client.py` | 539 | 7 | 2 | 14 |
| `core/calibration/service.py` | 539 | 3 | 5 | 7 |
| `core/schemas/schema_registry.py` | 535 | 3 | 21 | 0 |
| `tests/test_spec_normalizer_v2.py` | 535 | 0 | 7 | 22 |
| `memory/reasoning_replay.py` | 534 | 2 | 3 | 6 |
| `api/routes/slack.py` | 534 | 0 | 4 | 5 |
| `memory/checkpoint_metrics.py` | 533 | 4 | 23 | 0 |
| `memory/retrieval_ranking.py` | 532 | 3 | 15 | 0 |
| `core/agents/kernelevolution.py` | 531 | 2 | 8 | 1 |
